opponent,mine,index
c7b7,c8c4,27
d4c3,c4c3,23
d6b4,c3d3,24
e5e4,d3d7,23
g7d7,g4d7,12
b7c7,d7b5,14
c7d6,f2f3,15
d6c5,b5d7,16
e4f3,g2f3,15
b4d2,e3e4,14
b6b5,d7b5,13
c5b5,e4e5,6
d2b4,g1f2,6
b5c4,f2e3,6
c4d5,f3f4,4
g5f4,e3f4,4
d5e6,f4g4,4
b4e1,g4h5,3
e6e5,h5g4,3
e1g3,g4h5,2
e5f5,h5h6,0
g3f2,h6h5,2
f5f4,h5h6,1
f4g3,h6h5,4
g3h3,h5g5,2
h3g3,g5h5,4
h4h3,h5g5,2
start,d2d4,19
d7d5,c1f4,26
c7c6,e2e3,31
b8d7,g1f3,38
g8f6,c2c3,37
f6h5,f1d3,38
d8b6,d1b3,45
g7g6,e1g1,46
h5f4,e3f4,36
b6c7,b1d2,36
d7b6,f3e5,41
f7f6,e5f3,46
f8h6,g2g3,41
c8h3,f1e1,38
e8g8,a2a4,44
a7a5,b3a3,44
f8e8,c3c4,43
e7e6,c4c5,41
b6d7,b2b4,39
b7b6,b4a5,41
a8a5,a1b1,40
b6b5,f3h4,40
a5a4,a3b3,43
a4d4,b3c3,42
d4d3,c3d3,40
g6g5,f4g5,44
d7c5,d3d4,46
h6f8,d4f6,44
f8g7,f6f3,44
e8f8,f3e3,42
d5d4,e3a3,35
b5b4,a3b4,42
c5d3,b4a3,42
d3f2,d2e4,47
c7f7,e4d6,45
f7e7,b1b7,47
e7d8,h4f3,51
h3g4,f3e5,54
f2h3,g1g2,1
g7e5,e1e5,49
f8f2,g2h1,0
f2f1,h1g2,0
f1f2,g2h1,0
f2f1,h1g2,0
start,d2d4,19
d7d5,c1f4,26
c7c6,e2e3,31
c8f5,g1f3,38
e7e6,c2c3,37
a7a6,b1d2,38
f8d6,g2g3,37
g8e7,f1e2,37
d6f4,e3f4,35
e8g8,e1g1,32
f5h3,f1e1,28
a6a5,f3g5,28
h3f5,e2g4,39
b8d7,g4f5,42
e7f5,d2f3,40
d7b6,f3e5,34
a5a4,d1h5,41
f5h6,e5g4,44
b6d7,g4h6,37
g7h6,h5h6,38
d7f6,e1e5,37
a4a3,b2b3,37
g8h8,f4f5,35
b7b5,f5e6,35
a8a7,e5f5,35
h8g8,f5f6,34
f7e6,f6e6,34
d8e7,a1e1,37
e7g7,e6c6,40
g8h8,e1e6,46
g7h6,e6h6,32
a7g7,c6f6,33
f8f6,h6f6,21
g7g5,f6f8,21
g5g8,f8g8,20
h8g8,f2f4,9
g8g7,h2h4,9
h7h6,g3g4,9
h6h5,g4g5,9
g7g6,c3c4,7
d5c4,b3c4,8
b5c4,g1f1,6
g6f5,f1e2,6
c4c3,e2d3,8
f5g6,d3c3,7
g6g7,d4d5,8
g7f8,d5d6,9
f8f7,c3c4,9
f7f8,c4c5,10
f8e8,c5c6,9
e8f7,d6d7,9
f7e6,c6c7,10
e6f7,d7d8q,12
f7g6,d8f6,23
g6h7,c7d7,28
h7g8,d7e7,28
g8h7,f6h6,25
h7g8,h6f8,19
g8h7,g5g6,20
h7g6,f8f6,17
g6h7,f6c3,25
h7g8,e7f6,31
g8h7,f6f7,28
h7h6,c3g7,31
start,d2d4,19
g8f6,c1f4,27
e7e6,e2e3,31
c7c5,c2c3,40
f8e7,g1f3,41
e8g8,f1c4,40
d7d5,c4d3,43
b8d7,e1g1,46
d8b6,b1d2,42
c5c4,d3e2,42
f6g4,b2b4,34
h7h6,h2h3,33
a7a5,h3g4,36
d7f6,f3e5,36
e7d6,d1a4,37
b6d8,b4a5,45
a8a6,d2b1,44
a6a5,a4c2,37
a5a6,a2a4,38
f6e4,b1a3,35
a6a8,a3b5,41
d6e7,e2f3,43
e4g5,e3e4,44
a8a5,e4d5,40
e6d5,g2g3,45
c8e6,f4g5,45
e7g5,g1g2,41
f8e8,f3e2,42
a5a6,a4a5,46
a6a8,a5a6,48
a8a6,a1a6,49
e8e7,a6d6,52
d8e8,c2a4,47
e7c7,e2d1,46
e8e7,d1c2,41
c7c8,e5d7,48
